antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ALARM CLOCK BAKELIKE RED'}),"frozenset({'POSTAGE', 'ALARM CLOCK BAKELIKE GREEN'})",0.09438775510204081,0.08418367346938775,0.07142857142857142,0.7567567567567568,8.98935298935299,1.0,0.06348266347355268,3.7650226757369625,0.9813883299798791,0.6666666666666667,0.7343973499962358,0.8026208026208026
"frozenset({'POSTAGE', 'ALARM CLOCK BAKELIKE GREEN'})",frozenset({'ALARM CLOCK BAKELIKE RED'}),0.08418367346938775,0.09438775510204081,0.07142857142857142,0.8484848484848485,8.98935298935299,1.0,0.06348266347355268,5.977040816326531,0.9704536410664543,0.6666666666666667,0.8326931284677764,0.8026208026208026
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED'}),0.09693877551020408,0.09438775510204081,0.07908163265306123,0.8157894736842106,8.642958748221908,1.0,0.06993179925031237,4.916180758017496,0.979223619464188,0.7045454545454547,0.7965900667160861,0.8268136557610243
frozenset({'ALARM CLOCK BAKELIKE RED'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.09438775510204081,0.09693877551020408,0.07908163265306123,0.8378378378378379,8.642958748221908,1.0,0.06993179925031237,5.568877551020412,0.9764652430713312,0.7045454545454547,0.8204306000916172,0.8268136557610243
"frozenset({'ALARM CLOCK BAKELIKE RED', 'POSTAGE'})",frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.08673469387755102,0.09693877551020408,0.07142857142857142,0.8235294117647058,8.495356037151703,1.0,0.06302061640982923,5.117346938775509,0.9660814046288906,0.6363636363636364,0.8045862412761715,0.7801857585139318
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),"frozenset({'ALARM CLOCK BAKELIKE RED', 'POSTAGE'})",0.09693877551020408,0.08673469387755102,0.07142857142857142,0.7368421052631579,8.495356037151703,1.0,0.06302061640982923,3.470408163265305,0.9769975786924938,0.6363636363636364,0.7118494560423404,0.7801857585139318
frozenset({'ALARM CLOCK BAKELIKE RED'}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.09438775510204081,0.10204081632653061,0.07397959183673469,0.7837837837837838,7.681081081081081,1.0,0.0643481882548938,4.153061224489796,0.9604662457503643,0.6041666666666666,0.7592137592137592,0.7543918918918919
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE RED'}),0.10204081632653061,0.09438775510204081,0.07397959183673469,0.725,7.681081081081081,1.0,0.0643481882548938,3.293135435992579,0.968652037617555,0.6041666666666666,0.696338028169014,0.7543918918918919
frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),"frozenset({'SET/6 RED SPOTTY PAPER CUPS', 'SET/20 RED RETROSPOT PAPER NAPKINS'})",0.12755102040816327,0.10204081632653061,0.09948979591836735,0.78,7.644,1.0,0.0864743856726364,4.081632653061225,0.9962513120407858,0.7647058823529411,0.755,0.8775
"frozenset({'SET/6 RED SPOTTY PAPER CUPS', 'SET/20 RED RETROSPOT PAPER NAPKINS'})",frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),0.10204081632653061,0.12755102040816327,0.09948979591836735,0.975,7.643999999999999,1.0,0.0864743856726364,34.89795918367344,0.967948717948718,0.7647058823529411,0.9713450292397661,0.8775
